state_label,configuration,term,J,parity,energy_cm,uncertainty_cm,reference
4d(2D<3/2>)8g 2[5/2]2,4d.(2D<3/2>).8g,2[5/2],2,even,58755.1,0.2,L16320
"4d9d (5/2,5/2)2",4d.9d,"(5/2,5/2)",2,even,58763.8,0.2,L16320
"4d10d (3/2,5/2)1",4d.10d,"(3/2,5/2)",1,even,58821.2,0.2,L16320
"4d10d (3/2,3/2)0",4d.10d,"(3/2,3/2)",0,even,58856.2,0.2,L10938
"4d10d (3/2,3/2)1",4d.10d,"(3/2,3/2)",1,even,58859.0,0.2,L16320
"4d10d (3/2,5/2)2",4d.10d,"(3/2,5/2)",2,even,58889.7,0.2,L16320
4d(2D<5/2>)8f 2[1/2]1,4d.(2D<5/2>).8f,2[1/2],1,odd,58926.5,0.7,L7603
"4d11s (5/2,1/2)2",4d.11s,"(5/2,1/2)",2,even,58929.8,2.,L16320
"4d10d (3/2,3/2)2",4d.10d,"(3/2,3/2)",2,even,58939.7,0.2,L16320
4d(2D<5/2>)8f 2[3/2]1,4d.(2D<5/2>).8f,2[3/2],1,odd,58970.7,0.7,L7603
"4d11s (3/2,1/2)2",4d.11s,"(3/2,1/2)",2,even,59027.7,0.2,L16320
4d(2D<3/2>)9f 2[3/2]1,4d.(2D<3/2>).9f,2[3/2],1,odd,59032.9,0.7,L7603
4d(2D<5/2>)8g 2[5/2]2,4d.(2D<5/2>).8g,2[5/2],2,even,59037.1,0.2,L16320
4d(2D<5/2>)8g 2[3/2]2,4d.(2D<5/2>).8g,2[3/2],2,even,59038.3,0.2,L16320
"4d10d (5/2,3/2)2",4d.10d,"(5/2,3/2)",2,even,59087.5,0.2,L16320
4d(2D<3/2>)9f 2[7/2]3,4d.(2D<3/2>).9f,2[7/2],3,odd,59105.6,0.2,L13135
4d(2D<3/2>)9g 2[5/2]2,4d.(2D<3/2>).9g,2[5/2],2,even,59119.4,0.2,L16320
"4d10d (5/2,5/2)1",4d.10d,"(5/2,5/2)",1,even,59137.4,0.2,L16320
"4d10d (5/2,3/2)1",4d.10d,"(5/2,3/2)",1,even,59165.1,0.2,L16320
"4d10d (5/2,5/2)2",4d.10d,"(5/2,5/2)",2,even,59223.5,0.2,L16320
4d(2D<5/2>)9f 2[1/2]1,4d.(2D<5/2>).9f,2[1/2],1,odd,59238.5,0.7,L7603
"4d10d (5/2,5/2)0",4d.10d,"(5/2,5/2)",0,even,59258.8,0.2,L10938
4d(2D<5/2>)9f 2[3/2]1,4d.(2D<5/2>).9f,2[3/2],1,odd,59360.5,0.7,L7603
4d(2D<3/2>)10f 2[3/2]1,4d.(2D<3/2>).10f,2[3/2],1,odd,59360.5,0.7,L7603
4d(2D<5/2>)9g 2[5/2]2,4d.(2D<5/2>).9g,2[5/2],2,even,59400.6,0.2,L16320
4d(2D<5/2>)9g 2[3/2]2,4d.(2D<5/2>).9g,2[3/2],2,even,59401.5,0.2,L16320
4d(2D<5/2>)10f 2[3/2]1,4d.(2D<5/2>).10f,2[3/2],1,odd,59661.2,0.7,L7603
4d(2D<5/2>)10g 2[5/2]2,4d.(2D<5/2>).10g,2[5/2],2,even,59661.3,0.2,L16320
4d(2D<5/2>)10g 2[3/2]2,4d.(2D<5/2>).10g,2[3/2],2,even,59661.7,0.2,L16320
Sr II (4d 2D<3/2>) Limit---,Sr II (4d 2D<3/2>),Limit,---,even,60488.09,0.20,L4447
Sr II (4d 2D<5/2>) Limit---,Sr II (4d 2D<5/2>),Limit,---,even,60768.43,0.20,L4447
